"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/03/22 22:15:00,1.831345616665203e-05,2.3429485018766627e-09,6.584222660421801e-07,0.0001104261027649045
16/03/22 22:30:00,1.659939698583912e-05,-1.5991421520311633e-09,5.812912604596931e-07,0.00010034788283519447
16/03/22 22:45:00,1.810939284041524e-05,4.871067105227667e-09,6.6256330910619e-07,0.00010904591908911243
16/03/22 23:00:00,1.792356306395959e-05,2.317493530412662e-09,6.364641080836009e-07,0.0001082525632227771
16/03/22 23:15:00,1.5035988326417282e-05,-4.7122123980614106e-09,5.22648974765616e-07,9.095685527427122e-05
16/03/22 23:30:00,1.5891897419351153e-05,2.6394577634647476e-09,5.803828457828786e-07,9.571704140398651e-05
16/03/22 23:45:00,1.7368949556839652e-05,4.675746900772992e-09,6.265950105444063e-07,0.00010472971916897222
16/03/23 00:00:00,1.6363670511054806e-05,7.865821882724333e-10,5.779419325335766e-07,9.885767940431833e-05
16/03/23 00:15:00,1.6679359760018997e-05,3.0053597388501885e-09,6.014414566379855e-07,0.00010056215251097456
16/03/23 00:30:00,1.4557816029991955e-05,-2.9280289304267626e-09,5.066382868790242e-07,8.80710213095881e-05
16/03/23 00:45:00,1.5216701285680756e-05,2.556195921599169e-09,5.537959282264637e-07,9.166142262984067e-05
16/03/23 01:00:00,1.643083851377014e-05,4.1800811700909435e-09,5.920646799495444e-07,9.908545325743034e-05
16/03/23 01:15:00,1.5881023500696756e-05,1.6833902050095162e-09,5.64220556498185e-07,9.589269757270813e-05
16/03/23 01:30:00,1.7865670088212937e-05,6.807436392364252e-09,6.559587291121716e-07,0.00010757887503132224
16/03/23 01:45:00,1.7207745258929208e-05,2.386898234618684e-09,6.073979648135719e-07,0.00010397689766250551
16/03/23 02:00:00,1.5338562661781907e-05,-8.071144863563973e-10,5.393653736973647e-07,9.266712731914595e-05
16/03/23 02:15:00,1.4043824194232002e-05,-1.3342126292670287e-09,4.978885499440366e-07,8.481263648718596e-05
16/03/23 02:30:00,1.6778831195551902e-05,6.829291798737813e-09,6.237858087843051e-07,0.00010094435856444761
16/03/23 02:45:00,1.59987266670214e-05,1.4230427947126145e-09,5.617022225123947e-07,9.672467422205955e-05
16/03/23 03:00:00,1.5432917280122638e-05,1.7091669191060532e-09,5.530784505936026e-07,9.309565939474851e-05
16/03/23 03:15:00,1.5994886780390516e-05,3.335880238708455e-09,5.75612375541823e-07,9.646600665291771e-05
16/03/23 03:30:00,1.465057266614167e-05,-3.5354708050050476e-10,5.140497592037718e-07,8.854202314978465e-05
16/03/23 03:45:00,1.4014078260515817e-05,3.832956174676383e-10,5.013960731048428e-07,8.455590432276949e-05
16/03/23 04:00:00,1.2740289093926549e-05,-1.895618995106929e-09,4.484836040319351e-07,7.699386333115399e-05
16/03/23 04:15:00,1.4256202121032402e-05,3.873668941167807e-09,5.245325951364066e-07,8.58241255627945e-05
16/03/23 04:30:00,1.3671522538061254e-05,5.60028190488282e-10,4.818893444280548e-07,8.262365008704364e-05
16/03/23 04:45:00,1.545722443552222e-05,5.683908010922778e-09,5.69836231534282e-07,9.304160630563274e-05
16/03/23 05:00:00,1.3967699487693608e-05,-3.994910235949334e-10,4.863100571128598e-07,8.450957830063999e-05
16/03/23 05:15:00,1.4435636330745183e-05,3.0358457969725805e-09,5.237939717517293e-07,8.696301665622741e-05
16/03/23 05:30:00,1.4095639016886707e-05,1.4342020904223318e-09,5.003577712159313e-07,8.513886132277548e-05
16/03/23 05:45:00,1.6250443877652287e-05,6.772415961364686e-09,6.004257784297806e-07,9.780950495041907e-05
16/03/23 06:00:00,1.4414205907087307e-05,-4.913056073085897e-10,4.997095288672426e-07,8.724484359845519e-05
16/03/23 06:15:00,1.5037906450743321e-05,3.7922589513073035e-09,5.47844877019088e-07,9.056693670572713e-05
16/03/23 06:30:00,1.490581053076312e-05,2.2224762030731426e-09,5.307175570123945e-07,9.001486614579335e-05
16/03/23 06:45:00,1.5375024304375984e-05,3.691508210224015e-09,5.543629413296003e-07,9.269415022572502e-05
16/03/23 07:00:00,1.2866468750871718e-05,-3.6230642930235035e-09,4.437538621004933e-07,7.790304516674951e-05
16/03/23 07:15:00,1.6300980860251002e-05,8.607431212226402e-09,6.183092295941606e-07,9.792146738618612e-05
16/03/23 07:30:00,1.5503923350479454e-05,1.7868732049564073e-09,5.409616505858139e-07,9.379636321682483e-05
16/03/23 07:45:00,1.2962102118763141e-05,-2.924316122587811e-09,4.5346979504756746e-07,7.835666474420577e-05
16/03/23 08:00:00,1.4325609299703501e-05,3.9895464709616135e-09,5.275092576084717e-07,8.624880138086155e-05
16/03/23 08:15:00,1.4806977560510859e-05,3.1027709290754046e-09,5.292177434057521e-07,8.937399252317846e-05
16/03/23 08:30:00,1.2930597222293727e-05,-1.5909623618526325e-09,4.5190080300017144e-07,7.818680023774505e-05
16/03/23 08:45:00,1.1420122064009774e-05,-2.5594375507864697e-09,4.034707501432422e-07,6.898591527715325e-05
16/03/23 09:00:00,1.2454505849746056e-05,2.4368886908376908e-09,4.550332164399151e-07,7.501528307329863e-05
16/03/23 09:15:00,1.4315372936835047e-05,5.300083483206208e-09,5.224671895120991e-07,8.625265763839707e-05
16/03/23 09:30:00,1.3383500117924996e-05,9.182991034251131e-10,4.7010010462145146e-07,8.089215407380834e-05
16/03/23 09:45:00,1.369870915368665e-05,2.944062993393004e-09,4.949195044900989e-07,8.256574074039236e-05
16/03/23 10:00:00,1.4521354387397878e-05,4.03715372243596e-09,5.228322947914421e-07,8.757300383877009e-05
16/03/23 10:15:00,1.5812574929441325e-05,5.826477966763832e-09,5.721776688005775e-07,9.530394891044125e-05
16/03/23 10:30:00,1.2507760402513668e-05,-4.878428772059351e-09,4.2201577343803365e-07,7.582698162877932e-05
16/03/23 10:45:00,1.3095957910991274e-05,2.639847673790996e-09,4.814444878320501e-07,7.88189863669686e-05
16/03/23 11:00:00,1.576907561684493e-05,7.293091908167071e-09,5.809422987113066e-07,9.497192513663322e-05
16/03/23 11:15:00,1.4117707905825227e-05,3.0146185547863524e-10,4.910971824756416e-07,8.541296847397462e-05
16/03/23 11:30:00,1.6014078937587328e-05,6.794772300366958e-09,5.94527762132202e-07,9.635018068365753e-05
16/03/23 11:45:00,1.4392136108654086e-05,1.2769345303365043e-10,4.996637130716408e-07,8.71039301273413e-05
16/03/23 12:00:00,1.3407169717538636e-05,6.163276555781749e-10,4.798887403012486e-07,8.088829054031521e-05
16/03/23 12:15:00,1.5223098671413027e-05,5.595725660612061e-09,5.58606132017303e-07,9.168265387415886e-05
16/03/23 12:30:00,1.3571409908763599e-05,-5.751605303139229e-10,4.7187978680085507e-07,8.211211388697848e-05
16/03/23 12:45:00,1.6716141544748098e-05,8.98024321571711e-09,6.301493158389349e-07,0.00010046756506199017
16/03/23 13:00:00,1.4577646652469411e-05,-6.61072585561584e-10,5.004883405490546e-07,8.831810555420816e-05
16/03/23 13:15:00,1.4848557839286514e-05,3.509111889954397e-09,5.398799203248927e-07,8.942031854530796e-05
16/03/23 13:30:00,1.5462022929568775e-05,3.871372111774463e-09,5.54088217086246e-07,9.330800094176084e-05
16/03/23 13:45:00,1.4759640180272982e-05,1.7667319829328676e-09,5.242566771812562e-07,8.911532495403662e-05
16/03/23 14:00:00,1.671454265306238e-05,6.9059993279552145e-09,6.146551072561124e-07,0.00010063743684440851
16/03/23 14:15:00,1.4147133697406389e-05,-2.113106356560479e-09,4.859051045968954e-07,8.569286001147702e-05
16/03/23 14:30:00,1.6256202798103914e-05,6.822590492561176e-09,6.062564352760091e-07,9.77458112174645e-05
